run,operation,started,time,status,label,Eval/log_likelihood,Eval/rmse,Eval/calibr_error,Loss/train,Loss/train_NP,meta_learner,covar_module,mean_module,n_samples_per_task,n_train_tasks,n_test_context_samples,num_iter_fit,Eval/loss,context_mask,dataset,kernel_nn_layers,lr_decay,lr_params,mean_nn_layers,random_seed,task_batch_size,weight_decay,step
99035d82,1D:train-np,2020-09-17 18:07:08,0:03:02,completed,cauchy_np,-0.12589381635189056,0.1931258887052536,0.16260288655757904,,-0.46302932500839233,attentive_neural_process,,,20,20,5,5000,7907.4384765625,,,,,,,,,,
5d5e54d0,1D:train-np,2020-09-17 18:04:12,0:02:53,completed,cauchy_np,0.019424568861722946,0.2016243189573288,0.16583366692066193,,0.4369518458843231,attentive_neural_process,,,20,20,5,5000,6357.07568359375,,,,,,,,,,
29c30729,1D:train-np,2020-09-17 18:01:05,0:03:05,completed,cauchy_np,-0.2516171336174011,0.20346926152706146,0.17284628748893738,,0.42772382497787476,attentive_neural_process,,,20,20,5,5000,7469.0732421875,,,,,,,,,,
876740ed,1D:train-np,2020-09-17 17:58:00,0:03:02,completed,cauchy_np,-0.055392149835824966,0.19620729982852936,0.17292866110801697,,-0.6436407566070557,attentive_neural_process,,,20,20,5,5000,7944.6025390625,,,,,,,,,,
f7bb0294,1D:train-np,2020-09-17 17:54:55,0:03:03,completed,cauchy_np,0.009769430384039879,0.1857842653989792,0.16050972044467926,,-1.3167665004730225,attentive_neural_process,,,20,20,5,5000,7660.556640625,,,,,,,,,,
e39a8b56,1D:train-np,2020-09-17 17:51:47,0:03:05,completed,cauchy_np,-0.21000933647155762,0.1986571103334427,0.17193271219730377,,-0.22365906834602356,attentive_neural_process,,,20,20,5,5000,12132.0029296875,,,,,,,,,,
098249df,1D:train-np,2020-09-17 17:48:47,0:02:58,completed,cauchy_np,-0.31711193919181824,0.19741228222846985,0.1725727766752243,,0.053737491369247437,attentive_neural_process,,,20,20,5,5000,5853.6162109375,,,,,,,,,,
b2cca8c7,1D:train-np,2020-09-17 17:45:35,0:03:09,completed,cauchy_np,-0.334637314081192,0.20364709198474884,0.18365462124347687,,-0.4642159640789032,attentive_neural_process,,,20,20,5,5000,9967.482421875,,,,,,,,,,
de9a381e,1D:train-meta-gpr,2020-09-17 17:45:05,0:01:37,completed,cauchy_gp,0.3692169785499573,0.26012977957725525,0.15283720195293427,0.3073723018169403,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",29,4,0.001,5000
c801158c,1D:train-meta-gpr,2020-09-17 17:43:26,0:01:37,completed,cauchy_gp,0.5215083956718445,0.26634857058525085,0.1509457230567932,0.3453698456287384,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",28,4,0.001,5000
beac4ed7,1D:train-np,2020-09-17 17:42:28,0:03:04,completed,cauchy_np,-0.35272887349128723,0.20764216780662537,0.19730053842067719,,0.26566898822784424,attentive_neural_process,,,20,20,5,5000,10168.7568359375,,,,,,,,,,
67cf7021,1D:train-meta-gpr,2020-09-17 17:41:46,0:01:37,completed,cauchy_gp,0.5260730385780334,0.2599632740020752,0.1505359560251236,0.2568262219429016,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",27,4,0.001,5000
aea68965,1D:train-np,2020-09-17 17:40:30,0:01:56,completed,cauchy_np,-0.12031438201665878,0.20177169144153595,0.17223691940307617,,0.002110213041305542,attentive_conditional_neural_process,,,20,20,5,5000,6771.12890625,,,,,,,,,,
41b122b0,1D:train-meta-gpr,2020-09-17 17:40:06,0:01:38,completed,cauchy_gp,0.3396405279636383,0.26157888770103455,0.1546584665775299,0.017111249268054962,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",26,4,0.001,5000
c5acfe99,1D:train-meta-gpr,2020-09-17 17:38:27,0:01:36,completed,cauchy_gp,0.4740193486213684,0.26167163252830505,0.15145637094974518,0.37158897519111633,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",25,4,0.001,5000
2a86c95c,1D:train-np,2020-09-17 17:38:22,0:02:05,completed,cauchy_np,-0.2729601562023163,0.19956766068935394,0.17691394686698914,,-0.8420536518096924,attentive_conditional_neural_process,,,20,20,5,5000,8619.4228515625,,,,,,,,,,
5d5def3a,1D:train-meta-gpr,2020-09-17 17:36:46,0:01:38,completed,cauchy_gp,0.4184539020061493,0.2554777264595032,0.15392142534255981,0.8339521288871765,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",24,4,0.001,5000
98bedd6a,1D:train-np,2020-09-17 17:36:16,0:02:04,completed,cauchy_np,-0.3222438395023346,0.2084100842475891,0.17620816826820374,,1.1625202894210815,attentive_conditional_neural_process,,,20,20,5,5000,7174.7060546875,,,,,,,,,,
1efc6f93,1D:train-meta-gpr,2020-09-17 17:35:08,0:01:36,completed,cauchy_gp,0.47788670659065247,0.2546278238296509,0.15192754566669464,0.06908130645751953,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",23,4,0.001,5000
1d62bfa3,1D:train-np,2020-09-17 17:34:13,0:02:00,completed,cauchy_np,-0.04879409819841385,0.20065200328826904,0.17072153091430664,,-0.10101263225078583,attentive_conditional_neural_process,,,20,20,5,5000,6018.7626953125,,,,,,,,,,
934616b5,1D:train-meta-gpr,2020-09-17 17:33:27,0:01:38,completed,cauchy_gp,0.46081188321113586,0.26200753450393677,0.15340682864189148,0.1437995433807373,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",22,4,0.001,5000
a5c6194f,1D:train-np,2020-09-17 17:32:05,0:02:06,completed,cauchy_np,-0.06305084377527237,0.195601686835289,0.16761727631092072,,0.6657940149307251,attentive_conditional_neural_process,,,20,20,5,5000,7363.9384765625,,,,,,,,,,
12156dfb,1D:train-meta-gpr,2020-09-17 17:31:47,0:01:37,completed,cauchy_gp,0.5118188858032227,0.2566322684288025,0.15164582431316376,0.4598541259765625,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,cauchy,"32,32,32,32",0.97,0.001,"32,32,32,32",21,4,0.001,5000
72de1ae5,1D:train-np,2020-09-17 17:30:01,0:02:02,completed,cauchy_np,-0.1260741651058197,0.20666716992855072,0.18714645504951477,,0.7595288753509521,attentive_conditional_neural_process,,,20,20,5,5000,9476.6015625,,,,,,,,,,
