run,operation,started,time,status,label,Eval/log_likelihood,Eval/rmse,Eval/calibr_error,Loss/train,Loss/train_NP,meta_learner,covar_module,mean_module,n_samples_per_task,n_train_tasks,n_test_context_samples,num_iter_fit,Eval/loss,context_mask,dataset,kernel_nn_layers,lr_decay,lr_params,mean_nn_layers,random_seed,task_batch_size,weight_decay,step
c2fe3f6e,1D:train-np,2020-09-16 03:02:05,0:26:37,completed,physionet_np,-1.421822190284729,1.9533329010009766,0.18279510736465454,,-12.265899658203125,conv_conditional_neural_process,,,50,100,5,10000,1570063.625,,,,,,,,,,
f7257cd8,1D:train-np,2020-09-16 02:35:22,0:26:40,completed,physionet_np,-1.3339335918426514,1.949691891670227,0.1895216405391693,,-0.9602314233779907,conv_conditional_neural_process,,,50,100,5,10000,3758001664.0,,,,,,,,,,
eb2fde30,1D:train-np,2020-09-16 02:08:42,0:26:38,completed,physionet_np,-4.523530960083008,18.504369735717773,0.29626134037971497,,49.773555755615234,conv_conditional_neural_process,,,50,100,5,10000,22182662.0,,,,,,,,,,
00543771,1D:train-np,2020-09-16 01:42:07,0:26:32,completed,physionet_np,-1.780428171157837,1.900407075881958,0.16566772758960724,,-3.871640920639038,conv_conditional_neural_process,,,50,100,5,10000,483012.25,,,,,,,,,,
1c4cb7a5,1D:train-meta-gpr,2020-09-16 01:33:03,0:07:22,completed,physionet_gp_new,-1.5289762020111084,1.3162559270858765,0.1910521537065506,9.416922569274902,,gpr_meta_mll,NN,constant,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",29,16,0.001,10000
02e78ae5,1D:train-np,2020-09-16 01:27:59,0:14:06,completed,physionet_np,-1.6997439861297607,1.3811626434326172,0.18385563790798187,,-3.5540661811828613,attentive_neural_process,,,50,100,5,10000,582646.1875,,,,,,,,,,
6a2f6143,1D:train-meta-gpr,2020-09-16 01:25:47,0:07:14,completed,physionet_gp_new,-1.5497366189956665,1.24875807762146,0.19435444474220276,8.593323707580566,,gpr_meta_mll,NN,constant,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",28,16,0.001,10000
0d1791a3,1D:train-meta-gpr,2020-09-16 01:18:29,0:07:15,completed,physionet_gp_new,-1.5424867868423462,1.2252004146575928,0.19343453645706177,7.026557445526123,,gpr_meta_mll,NN,constant,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",27,16,0.001,10000
fd421313,1D:train-np,2020-09-16 01:14:25,0:13:32,completed,physionet_np,-1.6856099367141724,1.366762399673462,0.18823125958442688,,4.232622146606445,attentive_neural_process,,,50,100,5,10000,12219215.0,,,,,,,,,,
e886fd6a,1D:train-meta-gpr,2020-09-16 01:11:06,0:07:21,completed,physionet_gp_new,-1.530186414718628,1.245646595954895,0.191412091255188,13.972599029541016,,gpr_meta_mll,NN,constant,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",26,16,0.001,10000
9a89d070,1D:train-meta-gpr,2020-09-16 01:03:42,0:07:22,completed,physionet_gp_new,-1.5511398315429688,1.2902334928512573,0.19168086349964142,10.261929512023926,,gpr_meta_mll,NN,constant,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",25,16,0.001,10000
41295849,1D:train-np,2020-09-16 01:00:24,0:13:58,completed,physionet_np,-1.7230591773986816,1.4189622402191162,0.18625278770923615,,3.8652782440185547,attentive_neural_process,,,50,100,5,10000,231242.78125,,,,,,,,,,
7daa1948,1D:train-meta-gpr,2020-09-16 00:55:23,0:08:16,completed,physionet_gp_new,-1.5447980165481567,1.2236700057983398,0.192153662443161,9.338546752929688,,gpr_meta_mll,NN,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",29,16,0.001,10000
996bd7a6,1D:train-meta-gpr,2020-09-16 00:47:03,0:08:18,completed,physionet_gp_new,-1.5421991348266602,1.1983089447021484,0.1923464983701706,8.484514236450195,,gpr_meta_mll,NN,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",28,16,0.001,10000
7a4d9937,1D:train-np,2020-09-16 00:46:25,0:13:57,completed,physionet_np,-1.622511625289917,1.4032853841781616,0.19806364178657532,,-5.082736968994141,attentive_neural_process,,,50,100,5,10000,386507.5,,,,,,,,,,
03021da4,1D:train-meta-gpr,2020-09-16 00:38:43,0:08:18,completed,physionet_gp_new,-1.5441125631332397,1.1857383251190186,0.19148406386375427,6.907110691070557,,gpr_meta_mll,NN,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",27,16,0.001,10000
f876d711,1D:train-np,2020-09-16 00:37:40,0:08:43,completed,physionet_np,-1.5840929746627808,1.3885328769683838,0.1838199347257614,,-8.037130355834961,attentive_conditional_neural_process,,,50,100,5,10000,10227952.0,,,,,,,,,,
1c666df9,1D:train-meta-gpr,2020-09-16 00:30:22,0:08:20,completed,physionet_gp_new,-1.551870346069336,1.2402576208114624,0.19163841009140015,13.650784492492676,,gpr_meta_mll,NN,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",26,16,0.001,10000
335e9656,1D:train-np,2020-09-16 00:29:03,0:08:35,completed,physionet_np,-1.6616158485412598,1.4094631671905518,0.18294034898281097,,1.2895593643188477,attentive_conditional_neural_process,,,50,100,5,10000,3959790.25,,,,,,,,,,
7b26ca4c,1D:train-meta-gpr,2020-09-16 00:22:03,0:08:17,completed,physionet_gp_new,-1.547980546951294,1.250993251800537,0.19062301516532898,10.160984992980957,,gpr_meta_mll,NN,NN,50,100,5,10000,,None,physionet,"32,32,32,32",0.97,0.001,"32,32,32,32",25,16,0.001,10000
