run,operation,started,time,status,label,Eval/log_likelihood,Eval/rmse,Eval/calibr_error,Loss/train,Loss/train_NP,meta_learner,covar_module,mean_module,n_samples_per_task,n_train_tasks,n_test_context_samples,num_iter_fit,Eval/loss,context_mask,dataset,kernel_nn_layers,lr_decay,lr_params,mean_nn_layers,random_seed,task_batch_size,weight_decay,step
5063484e,1D:train-np,2020-09-17 21:40:56,0:02:37,completed,sin_np,-1.1209567785263062,0.3733144998550415,0.18370941281318665,,-3.0655465126037598,attentive_neural_process,,,20,20,5,5000,72188.0703125,,,,,,,,,,
09f073cc,1D:train-np,2020-09-17 21:38:17,0:02:36,completed,sin_np,-1.1122956275939941,0.39302971959114075,0.1795056313276291,,-2.4090867042541504,attentive_neural_process,,,20,20,5,5000,60535.1953125,,,,,,,,,,
0e18378b,1D:train-np,2020-09-17 21:35:35,0:02:39,completed,sin_np,-0.8338820934295654,0.38600432872772217,0.17595155537128448,,-1.7445405721664429,attentive_neural_process,,,20,20,5,5000,58835.71875,,,,,,,,,,
6dd7eff9,1D:train-meta-gpr,2020-09-17 21:35:12,0:01:49,completed,sin_gp,0.05406880006194115,0.3139808177947998,0.15521612763404846,-0.9579895734786987,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",29,4,0.001,5000
df2c5953,1D:train-meta-gpr,2020-09-17 21:33:20,0:01:49,completed,sin_gp,0.10820800065994263,0.28978559374809265,0.1534237563610077,-0.87810879945755,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",28,4,0.001,5000
2a3fecdf,1D:train-np,2020-09-17 21:32:54,0:02:38,completed,sin_np,-0.9607865214347839,0.3999980390071869,0.18401022255420685,,-1.6501061916351318,attentive_neural_process,,,20,20,5,5000,40668.609375,,,,,,,,,,
5f4ad87e,1D:train-meta-gpr,2020-09-17 21:31:27,0:01:51,completed,sin_gp,0.15670987963676453,0.28392601013183594,0.15020398795604706,-1.8827965259552002,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",27,4,0.001,5000
9a803bce,1D:train-np,2020-09-17 21:30:13,0:02:38,completed,sin_np,-0.854046106338501,0.38334956765174866,0.18790023028850555,,-0.9964227676391602,attentive_neural_process,,,20,20,5,5000,43837.03515625,,,,,,,,,,
4f578ef4,1D:train-meta-gpr,2020-09-17 21:29:36,0:01:48,completed,sin_gp,0.1385747343301773,0.2920280694961548,0.14712858200073242,-1.4065442085266113,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",26,4,0.001,5000
74861ade,1D:train-meta-gpr,2020-09-17 21:27:47,0:01:46,completed,sin_gp,0.12863047420978546,0.294851690530777,0.14928260445594788,-1.3884360790252686,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",25,4,0.001,5000
02e0c6d9,1D:train-np,2020-09-17 21:27:31,0:02:40,completed,sin_np,-0.9447834491729736,0.44934341311454773,0.16372188925743103,,-0.8773723840713501,attentive_neural_process,,,20,20,5,5000,25174.3984375,,,,,,,,,,
12f1503a,1D:train-meta-gpr,2020-09-17 21:25:51,0:01:53,completed,sin_gp,0.08299615234136581,0.29896724224090576,0.1536332666873932,-1.117957592010498,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",24,4,0.001,5000
1656c205,1D:train-np,2020-09-17 21:24:46,0:02:41,completed,sin_np,-0.9687386155128479,0.38426896929740906,0.19672466814517975,,-2.3815009593963623,attentive_neural_process,,,20,20,5,5000,37464.08203125,,,,,,,,,,
0653582c,1D:train-meta-gpr,2020-09-17 21:24:01,0:01:48,completed,sin_gp,0.13879673182964325,0.28262659907341003,0.15108643472194672,-1.1660008430480957,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",23,4,0.001,5000
c119d9b3,1D:train-np,2020-09-17 21:22:06,0:02:37,completed,sin_np,-0.9302646517753601,0.3805680572986603,0.17348529398441315,,-1.1852245330810547,attentive_neural_process,,,20,20,5,5000,56904.8359375,,,,,,,,,,
e05262a4,1D:train-meta-gpr,2020-09-17 21:22:03,0:01:56,completed,sin_gp,0.06477437913417816,0.32167521119117737,0.15310779213905334,-1.350559115409851,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",22,4,0.001,5000
2b431aa2,1D:train-meta-gpr,2020-09-17 21:20:12,0:01:47,completed,sin_gp,0.09283910691738129,0.29665806889533997,0.15471461415290833,-1.2848302125930786,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",21,4,0.001,5000
2ffa8c10,1D:train-np,2020-09-17 21:19:26,0:02:37,completed,sin_np,-1.2555480003356934,0.5347143411636353,0.20605437457561493,,-1.1201350688934326,attentive_neural_process,,,20,20,5,5000,40159.64453125,,,,,,,,,,
98f9142e,1D:train-meta-gpr,2020-09-17 21:18:09,0:02:01,completed,sin_gp,0.052973706275224686,0.2608051300048828,0.1572890728712082,-2.4429664611816406,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",29,4,0.001,5000
9405b459,1D:train-np,2020-09-17 21:17:37,0:01:46,completed,sin_np,-0.826718807220459,0.375470370054245,0.17238453030586243,,-2.8815102577209473,attentive_conditional_neural_process,,,20,20,5,5000,46354.20703125,,,,,,,,,,
7c3bfeda,1D:train-meta-gpr,2020-09-17 21:16:02,0:02:04,completed,sin_gp,0.07304462790489197,0.2523409128189087,0.1548563539981842,-2.265885353088379,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",28,4,0.001,5000
59cb13dc,1D:train-np,2020-09-17 21:15:47,0:01:47,completed,sin_np,-0.9409469962120056,0.3646208345890045,0.18457813560962677,,-3.024399757385254,attentive_conditional_neural_process,,,20,20,5,5000,75978.9140625,,,,,,,,,,
93f0340b,1D:train-meta-gpr,2020-09-17 21:13:59,0:02:01,completed,sin_gp,0.09443043917417526,0.25582176446914673,0.1557253897190094,-2.4778075218200684,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",27,4,0.001,5000
f175378c,1D:train-np,2020-09-17 21:13:57,0:01:47,completed,sin_np,-1.2429789304733276,0.3645265996456146,0.1983845978975296,,-1.9376640319824219,attentive_conditional_neural_process,,,20,20,5,5000,51542.28515625,,,,,,,,,,
398db06d,1D:train-np,2020-09-17 21:12:04,0:01:50,completed,sin_np,-0.7194216847419739,0.35901597142219543,0.16997407376766205,,-2.463850975036621,attentive_conditional_neural_process,,,20,20,5,5000,49759.34765625,,,,,,,,,,
173c1c93,1D:train-meta-gpr,2020-09-17 21:11:50,0:02:07,completed,sin_gp,0.08790040016174316,0.2538587152957916,0.15904170274734497,-2.803288459777832,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",26,4,0.001,5000
3613aaf9,1D:train-np,2020-09-17 21:10:12,0:01:48,completed,sin_np,-1.2292147874832153,0.39280030131340027,0.18699026107788086,,-2.0328986644744873,attentive_conditional_neural_process,,,20,20,5,5000,53265.05078125,,,,,,,,,,
0912bae3,1D:train-meta-gpr,2020-09-17 21:09:46,0:02:01,completed,sin_gp,0.10326504707336426,0.2457869052886963,0.15494012832641602,-2.2382020950317383,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",25,4,0.001,5000
54b31049,1D:train-np,2020-09-17 21:08:22,0:01:47,completed,sin_np,-1.3208787441253662,0.35748395323753357,0.20357578992843628,,-1.016855239868164,attentive_conditional_neural_process,,,20,20,5,5000,78872.5,,,,,,,,,,
ebe3fc40,1D:train-meta-gpr,2020-09-17 21:07:41,0:02:01,completed,sin_gp,0.0711657926440239,0.2550186216831207,0.15715044736862183,-2.1527364253997803,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",24,4,0.001,5000
49ace89a,1D:train-np,2020-09-17 21:06:32,0:01:48,completed,sin_np,-1.0496786832809448,0.3783208727836609,0.1976163238286972,,-2.177189350128174,attentive_conditional_neural_process,,,20,20,5,5000,68315.859375,,,,,,,,,,
e9453d0c,1D:train-meta-gpr,2020-09-17 21:05:34,0:02:04,completed,sin_gp,0.08937780559062958,0.25240716338157654,0.1553748995065689,-2.223308563232422,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",23,4,0.001,5000
37989cc5,1D:train-np,2020-09-17 21:04:44,0:01:45,completed,sin_np,-1.1022778749465942,0.35148608684539795,0.1892559677362442,,-1.9105138778686523,attentive_conditional_neural_process,,,20,20,5,5000,32698.412109375,,,,,,,,,,
9489f93f,1D:train-meta-gpr,2020-09-17 21:03:22,0:02:10,completed,sin_gp,-0.0321737602353096,0.2712264358997345,0.16064785420894623,-1.6268393993377686,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",22,4,0.001,5000
417561ff,1D:train-np,2020-09-17 21:02:56,0:01:45,completed,sin_np,-1.4665864706039429,0.4223824739456177,0.2113943099975586,,-1.7940049171447754,attentive_conditional_neural_process,,,20,20,5,5000,43733.01171875,,,,,,,,,,
31c863c8,1D:train-np,2020-09-17 21:01:38,0:01:15,completed,sin_np,-1.173644781112671,0.39299166202545166,0.19207753241062164,,-3.279280662536621,conditional_neural_process,,,20,20,5,5000,31223.501953125,,,,,,,,,,
277e46a3,1D:train-meta-gpr,2020-09-17 21:01:17,0:02:02,completed,sin_gp,0.07451919466257095,0.25786668062210083,0.15487894415855408,-2.4404120445251465,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",21,4,0.001,5000
39e2b6c6,1D:train-np,2020-09-17 21:00:18,0:01:17,completed,sin_np,-0.9022668600082397,0.3767421841621399,0.18442831933498383,,-2.143698215484619,conditional_neural_process,,,20,20,5,5000,40381.078125,,,,,,,,,,
57f9316b,1D:train-meta-gpr,2020-09-17 20:59:44,0:01:30,completed,sin_gp,-1.2457345724105835,0.9149506092071533,0.15244179964065552,3.644108295440674,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",29,4,0.001,5000
78eab524,1D:train-np,2020-09-17 20:58:58,0:01:16,completed,sin_np,-0.8792152404785156,0.39002057909965515,0.1797804981470108,,-1.0681829452514648,conditional_neural_process,,,20,20,5,5000,26095.75,,,,,,,,,,
3396a877,1D:train-meta-gpr,2020-09-17 20:58:13,0:01:29,completed,sin_gp,-1.2458155155181885,0.9152151346206665,0.15218457579612732,3.4601869583129883,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",28,4,0.001,5000
20c337f5,1D:train-np,2020-09-17 20:57:39,0:01:17,completed,sin_np,-0.8315551280975342,0.4054759442806244,0.1766168773174286,,-1.9496803283691406,conditional_neural_process,,,20,20,5,5000,38908.3359375,,,,,,,,,,
65f37b1f,1D:train-meta-gpr,2020-09-17 20:56:45,0:01:25,completed,sin_gp,-1.2464598417282104,0.91510009765625,0.152560755610466,3.3951003551483154,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",27,4,0.001,5000
975fc61d,1D:train-np,2020-09-17 20:56:20,0:01:16,completed,sin_np,-1.2543812990188599,0.4818478226661682,0.17987827956676483,,-1.7235190868377686,conditional_neural_process,,,20,20,5,5000,35315.1484375,,,,,,,,,,
9731d970,1D:train-meta-gpr,2020-09-17 20:55:15,0:01:27,completed,sin_gp,-1.2460424900054932,0.9156928658485413,0.15220068395137787,3.2998366355895996,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",26,4,0.001,5000
fe3cff5d,1D:train-np,2020-09-17 20:55:03,0:01:15,completed,sin_np,-1.1779658794403076,0.3920746147632599,0.18971313536167145,,-0.4375551640987396,conditional_neural_process,,,20,20,5,5000,34111.625,,,,,,,,,,
6c8b0f3d,1D:train-np,2020-09-17 20:53:44,0:01:16,completed,sin_np,-1.159085750579834,0.3790825307369232,0.1964585781097412,,-2.8210065364837646,conditional_neural_process,,,20,20,5,5000,45265.23046875,,,,,,,,,,
d6c44e88,1D:train-meta-gpr,2020-09-17 20:53:44,0:01:29,completed,sin_gp,-1.2479946613311768,0.916658878326416,0.1520804911851883,3.3610353469848633,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",25,4,0.001,5000
57abd42e,1D:train-np,2020-09-17 20:52:27,0:01:15,completed,sin_np,-1.4134970903396606,0.39969974756240845,0.19828757643699646,,-0.8919855952262878,conditional_neural_process,,,20,20,5,5000,59988.66796875,,,,,,,,,,
b3bfc275,1D:train-meta-gpr,2020-09-17 20:52:14,0:01:27,completed,sin_gp,-1.2469968795776367,0.9157748222351074,0.1521298587322235,3.707399845123291,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",24,4,0.001,5000
96631a90,1D:train-np,2020-09-17 20:51:09,0:01:15,completed,sin_np,-1.0126796960830688,0.4186602830886841,0.18116462230682373,,-0.7806839942932129,conditional_neural_process,,,20,20,5,5000,24448.51171875,,,,,,,,,,
7a457d57,1D:train-meta-gpr,2020-09-17 20:50:42,0:01:29,completed,sin_gp,-1.2458761930465698,0.9152666330337524,0.15229704976081848,3.992093563079834,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",23,4,0.001,5000
6ec52ba4,1D:train-meta-gpr,2020-09-17 20:49:10,0:01:29,completed,sin_gp,-1.245883584022522,0.9143391251564026,0.15216800570487976,3.8486990928649902,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",22,4,0.001,5000
150f19db,1D:train-np,2020-09-17 20:49:01,0:02:05,completed,sin_np,-1.0249874591827393,0.39156246185302734,0.19775304198265076,,-2.284619092941284,neural_process,,,20,20,5,5000,26891.09765625,,,,,,,,,,
3a9cd5cc,1D:train-meta-gpr,2020-09-17 20:47:37,0:01:30,completed,sin_gp,-1.2454173564910889,0.9142892360687256,0.15240953862667084,3.4227023124694824,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",21,4,0.001,5000
b8530c64,1D:train-np,2020-09-17 20:46:45,0:02:13,completed,sin_np,-0.76320880651474,0.3901890218257904,0.17235270142555237,,-1.7763488292694092,neural_process,,,20,20,5,5000,41745.95703125,,,,,,,,,,
